user_name,video_id,video_desc,video_time,video_duration,n_shares,n_likes,n_comments,n_plays,video_link
jongraz,7022037757883174149,"#greenscreen and this, everyone, is why we do it #nobones #bonesday #noodletok #midterms #school @yvonnewithani",1634945572,15,15300,1100000,2650,6100000,https://www.tiktok.com/@jongraz/video/7022037757883174149?lang=en
jongraz,7021895192559111430,the bones have spoken…loudly this morning #nobones #bonesday #noodletok #pug #friday,1634912379,59,73000,1300000,21600,6400000,https://www.tiktok.com/@jongraz/video/7021895192559111430?lang=en
jongraz,7021694578940022021,#duet with @fabulousjustina nothing gets me going quite like a synchronistic snap #nobones #bonesday #pug #noodletok #duet,1634865669,41,28000,1200000,3555,6100000,https://www.tiktok.com/@jongraz/video/7021694578940022021?lang=en
jongraz,7021511892824820997,plan your day accordingly 🔮🦴🔮 #nobones #bonesday #noodletok #pug,1634823134,51,193600,2100000,34100,9500000,https://www.tiktok.com/@jongraz/video/7021511892824820997?lang=en
jongraz,7021287983613529350,#duet with @urmomslinguini these videos keep getting better! hope this was all of you on this fine bones day 🦴 #bonesday #nobones #duet #noodletok,1634771002,13,4638,1600000,2046,7900000,https://www.tiktok.com/@jongraz/video/7021287983613529350?lang=en
jongraz,7021172359386172678,I know this is coming later than usual - you can ask @TODAY Show about that 🤯🔮🦴 #nobones #bonesday #pug #noodletok,1634744081,45,38300,967500,9658,4800000,https://www.tiktok.com/@jongraz/video/7021172359386172678?lang=en
jongraz,7020772470017887494,#duet with @notthemaincharacters can’t put into words how incredible it’s been to watch this whole thing turn into what it has. we’re blown away. ❤️,1634650975,20,55900,2000000,12400,13900000,https://www.tiktok.com/@jongraz/video/7020772470017887494?lang=en
jongraz,7020468156837760261,#duet with @skeeter.mcgavin_ Noodle’s birthday is July 4th so this actually makes perfect and rational sense. Also WHAT IS HAPPENING #nobones,1634580121,44,20000,862700,3941,6100000,https://www.tiktok.com/@jongraz/video/7020468156837760261?lang=en
jongraz,7020411242749758725,hope you all have the best Monday! 🔮🦴 #nobones #bonesday #pug #noodletok #monday,1634566870,47,209300,2800000,41300,13800000,https://www.tiktok.com/@jongraz/video/7020411242749758725?lang=en
jongraz,7020093600239209734,Reply to @hanaranaranahan noodle is the king of my household and this is the crown jewel #nobones #bonesday #pug #merch #noodletok,1634492912,58,2938,425000,2474,3700000,https://www.tiktok.com/@jongraz/video/7020093600239209734?lang=en
jongraz,7020027193216503046,I think we all saw this one coming 🦴🔮 #nobones #bones #pug #noodletok,1634477451,34,106900,1600000,17900,8800000,https://www.tiktok.com/@jongraz/video/7020027193216503046?lang=en
jongraz,7019702064829697285,happy Saturday everyone 🦴✨ #nobonesday #bonesday #pug #noodletok,1634401751,151,24000,644300,11400,4400000,https://www.tiktok.com/@jongraz/video/7019702064829697285?lang=en
jongraz,7019298458678856965,happy Friday everyone 🔮🦴✨ #pug #bones #nobones #weekend #horoscope #noodletok,1634307779,39,119000,1800000,26000,9900000,https://www.tiktok.com/@jongraz/video/7019298458678856965?lang=en
jongraz,7019051660123049221,Reply to @jcase1991 visors? small pins? large pins? velour swear suits? what sayings should we use? I’m all ears (eyes tbh) #pug #nobones #merch,1634250317,59,469,78200,11600,1800000,https://www.tiktok.com/@jongraz/video/7019051660123049221?lang=en
jongraz,7018925390118784262,thank you all so much 🥺❤️😭 I love this sweet king and I love sharing him with you! #pug #nobones #adoptdontshop #geriatricking,1634220917,58,4067,428600,4968,3400000,https://www.tiktok.com/@jongraz/video/7018925390118784262?lang=en
jongraz,7018544878183320837,your midweek reading 🔮🦴 #pug #adoptdontshop #horoscope #fortuneteller #nobones #noodletok,1634132323,37,75000,777500,11200,4600000,https://www.tiktok.com/@jongraz/video/7018544878183320837?lang=en
jongraz,7018183938590002437,#duet with @_jen_hamilton_  I love sharing this sweet old man with you all! The response has been amazing. We are all at the Mercy of the Bones. ❤️🦴,1634048285,48,9764,831700,1618,5400000,https://www.tiktok.com/@jongraz/video/7018183938590002437?lang=en
jongraz,7017803606308965637,"yet again, the Bones have SPOKEN #monday #nobones #pug #horoscope #treatyoself",1633959732,31,36800,1100000,7627,5700000,https://www.tiktok.com/@jongraz/video/7017803606308965637?lang=en
jongraz,7017075369505213702,arguably his clearest message yet #pug #nobones #humor #divination #noodletok,1633790176,50,21800,611900,3704,3000000,https://www.tiktok.com/@jongraz/video/7017075369505213702?lang=en
jongraz,7016326380820401414,we…are not worthy #pug #adoptdontshop #nobones #noodletok,1633615788,28,44200,1500000,9279,6900000,https://www.tiktok.com/@jongraz/video/7016326380820401414?lang=en
jongraz,7016022514816011526,"today, we celebrate The King and all of his…everything #nationalnoodleday #pug #noodle #noodletok #olddog",1633545039,16,2639,299000,737,2700000,https://www.tiktok.com/@jongraz/video/7016022514816011526?lang=en
jongraz,7015951383627140357,Reply to @crocgang1006 #greenscreen here you are in all his glory! #pug #adoptdontshop #noodletok #rain #fypシ,1633528478,18,1752,178500,921,1300000,https://www.tiktok.com/@jongraz/video/7015951383627140357?lang=en
jongraz,7015223171011857670,the Bones have spoken!! #pug #adoptdontshop #nobones #noodletok #mondaymotivation,1633358927,40,129200,3800000,13300,16500000,https://www.tiktok.com/@jongraz/video/7015223171011857670?lang=en
jongraz,7013363016121044229,he humbles us with his constancy #pug #adoptdontshop #nobones #foryoupage #fortune,1632925827,31,0,0,2934,0,https://www.tiktok.com/@jongraz/video/7013363016121044229?lang=en
jongraz,7013197583707409669,spoiler: he doesn’t do much walking #pug,1632887310,12,0,0,738,0,https://www.tiktok.com/@jongraz/video/7013197583707409669?lang=en
jongraz,7012606161962683654,"you had your fun, summer. now it’s OUR TURN. #fall #autumn #woolsocks #socks #foryoupage",1632749608,34,0,0,305,0,https://www.tiktok.com/@jongraz/video/7012606161962683654?lang=en
